[thewall.engine.tengine.TEngineApp] [10:55:41] main/INFO ] - Initializing TEngine 1.0.4
[thewall.engine.tengine.debugger.console.DebugConsole] [10:55:41] main/INFO ] - Showing up debug console
[thewall.engine.tengine.runtime.AbstractRuntime] [10:55:41] TEngine Main Thread/INFO ] - Starting runtime for [TEngine Game App Runtime]
[System.out] [10:55:42] TEngine Main Thread/INFO ] - 
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - GPU: Intel(R) HD Graphics 630
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.026
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.021
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.005
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.game.TheWall] [10:55:42] TEngine Main Thread/WARN ] - FPS drop detected, current framerate: 14
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.011
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.012
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.005
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.005
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.005
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.005
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.006
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:42] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.012
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.011
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.013
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.012
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.012
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.007
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.008
[thewall.engine.tengine.runtime.app.TEngineAppRuntime] [10:55:43] TEngine Main Thread/INFO ] - Time: 0.006
