[thewall.engine.twilight.TwilightApp] [11:21:11] main/INFO ] - Initializing TEngine 1.0.4
[thewall.engine.twilight.debugger.console.DebugConsole] [11:21:11] main/INFO ] - Showing up debug console
[thewall.engine.twilight.runtime.AbstractRuntime] [11:21:11] TEngine Main Thread/INFO ] - Starting runtime for [TEngine Game App Runtime]
[System.out] [11:21:12] TEngine Main Thread/INFO ] - 
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - GPU: Intel(R) HD Graphics 630
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.031
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.013
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.014
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.017
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.game.TheWall] [11:21:12] TEngine Main Thread/WARN ] - FPS drop detected, current framerate: 9
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.009
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.013
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.011
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:21:12] TEngine Main Thread/INFO ] - Time: 0.014
