[thewall.engine.twilight.TwilightApp] [11:22:28] main/INFO ] - Initializing TEngine 1.0.4
[thewall.engine.twilight.debugger.console.DebugConsole] [11:22:28] main/INFO ] - Showing up debug console
[thewall.engine.twilight.runtime.AbstractRuntime] [11:22:28] TEngine Main Thread/INFO ] - Starting runtime for [TEngine Game App Runtime]
[System.out] [11:22:28] TEngine Main Thread/INFO ] - 
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - GPU: Intel(R) HD Graphics 630
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.017
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.009
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.01
[thewall.game.TheWall] [11:22:29] TEngine Main Thread/WARN ] - FPS drop detected, current framerate: 11
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.009
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.011
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.011
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.01
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.007
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.008
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.006
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.005
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [11:22:29] TEngine Main Thread/INFO ] - 0.005
