[thewall.engine.twilight.TwilightApp] [19:12:34] main/INFO ] - Initializing Twilight 1.1.0.3
[thewall.engine.twilight.runtime.AbstractRuntime] [19:12:34] TwLight Main Thread/INFO ] - Starting runtime for [Twilight Game App Runtime]
[thewall.engine.twilight.shaders.ShaderProgram] [19:12:34] TwLight Main Thread/ERROR] - Uniform from [thewall.engine.twilight.shaders.StaticShader] [random] not found
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - CPU:       Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - OpenGL:    4.6 (Compatibility Profile) Mesa 20.3.5
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - GPU:       Mesa Intel(R) HD Graphics 630 (KBL GT2)
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - Vendor:    Intel
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - Memory :   15891MB
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - Baseboard: ASUSTeK COMPUTER INC. UX550VE
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - Sound 1:   HDA-Intel - HDA Intel PCH Intel Kabylake HDMI Advanced Linux Sound Architecture Driver Version k5.14.0-2parrot1-amd64.
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - Sound 2:   USB-Audio - PRO X  Advanced Linux Sound Architecture Driver Version k5.14.0-2parrot1-amd64.
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStream] [19:12:35] TwLight Main Thread/INFO ] - 
[thewall.engine.twilight.runtime.app.TEngineAppRuntime] [19:12:35] TwLight Main Thread/INFO ] - Initialization complete, runtime is ready
[thewall.game.Game] [19:12:35] main/INFO ] - Game started in 0.855s.
[thewall.engine.twilight.render.MasterRenderer] [19:12:35] TwLight Main Thread/WARN ] - Entity [thewall.engine.twilight.entity.RawEntity] is deprecated, try to use another or implement your own.
[thewall.game.TheWall] [19:12:35] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:36] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:37] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:38] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:39] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:40] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:41] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:42] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:43] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:44] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:45] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:46] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:47] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:48] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:12:49] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
