[thewall.engine.LegacyApp] [17:36:02] main/INFO ] - Initializing Twilight Twilight 1.2
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Warming up JVM...
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Installing ANSI Console
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Setting ANSI console out OutputStream [AnsiPrintStream{type=Redirected, colors=Colors16, mode=Strip, resetAtUninstall=true}]
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Setting ANSI console err OutputStream [AnsiPrintStream{type=Redirected, colors=Colors16, mode=Strip, resetAtUninstall=true}]
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Creating GLFW error callback
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Setting stream proxy JTE debug console
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Starting Twilight Runtime Service
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Registering runtime service
[thewall.engine.LegacyApp] [17:36:02] main/INFO ] - Starting application, searching for runtime...
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Finding runtime to run app
[thewall.engine.LegacyApp] [17:36:02] main/INFO ] - Found runtime [thewall.engine.twilight.runtime.app.JTEEnvironment], executing program...
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Runtime thread exception guard is ready
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Starting runtime thread
[thewall.engine.LegacyApp] [17:36:02] main/DEBUG] - Waiting for runtime to continue
[thewall.engine.twilight.runtime.AbstractRuntime] [17:36:02] TwLight Main Thread/INFO ] - Starting runtime for [JTE Environment]
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:02] TwLight Main Thread/INFO ] - Capturing runtime thread...
[thewall.engine.twilight.utils.WatchdogMonitor] [17:36:02] TwLight Main Thread/INFO ] - Watchdog started, working in background active
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:02] TwLight Main Thread/INFO ] - Java VM:                   OpenJDK 64-Bit Server VM
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:02] TwLight Main Thread/INFO ] - Java Home:                 C:\Users\szymo\Documents\graalvm-ce-java17-windows-amd64-21.3.0\graalvm-ce-java17-21.3.0
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:02] TwLight Main Thread/INFO ] - Java Vendor:               GraalVM Community
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:02] TwLight Main Thread/INFO ] - Java Version:              17.0.1
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:02] TwLight Main Thread/INFO ] - Java Specification Vendor: Oracle Corporation
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:02] TwLight Main Thread/INFO ] - Finding best context for runtime
[thewall.engine.twilight.system.lwjgl.LegacyLwjglContext] [17:36:02] TwLight Main Thread/INFO ] - Context for [Sound Master]:        thewall.engine.twilight.audio.jmf.SoundManager
[thewall.engine.twilight.system.lwjgl.LegacyLwjglContext] [17:36:02] TwLight Main Thread/INFO ] - Context for [Input Manager]:       thewall.engine.twilight.input.glfw.GLFWInput
[thewall.engine.twilight.system.lwjgl.LegacyLwjglContext] [17:36:02] TwLight Main Thread/INFO ] - Context for [Renderer]:            thewall.engine.twilight.renderer.opengl.GLRenderer
[thewall.engine.twilight.system.lwjgl.LegacyLwjglContext] [17:36:02] TwLight Main Thread/DEBUG] - OpenGL 2.0+ support available
[thewall.engine.twilight.system.lwjgl.LegacyLwjglContext] [17:36:02] TwLight Main Thread/DEBUG] - OpenGL 3.0+ support available
[thewall.engine.twilight.system.lwjgl.LegacyLwjglContext] [17:36:02] TwLight Main Thread/DEBUG] - OpenGL 4.0+ support available
[thewall.engine.twilight.system.lwjgl.LegacyLwjglContext] [17:36:02] TwLight Main Thread/DEBUG] - Enabling OpenGL 4.0+ debug message callback
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStreamError] [17:36:02] TwLight Main Thread/ERROR] - SLF4J: Class path contains multiple SLF4J bindings.
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStreamError] [17:36:02] TwLight Main Thread/ERROR] - SLF4J: Found binding in [jar:file:/C:/Users/szymo/.m2/repository/org/slf4j/slf4j-simple/1.7.32/slf4j-simple-1.7.32.jar!/org/slf4j/impl/StaticLoggerBinder.class]
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStreamError] [17:36:02] TwLight Main Thread/ERROR] - SLF4J: Found binding in [jar:file:/C:/Users/szymo/.m2/repository/org/slf4j/slf4j-log4j12/1.7.30/slf4j-log4j12-1.7.30.jar!/org/slf4j/impl/StaticLoggerBinder.class]
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStreamError] [17:36:02] TwLight Main Thread/ERROR] - SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
[thewall.engine.twilight.debugger.console.ConsoleOutProxy.OutStreamError] [17:36:02] TwLight Main Thread/ERROR] - SLF4J: Actual binding is of type [org.slf4j.impl.SimpleLoggerFactory]
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - CPU:                       Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Renderer:                  OpenGL 4.6.0 - Build 30.0.100.9864
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - GPU:                       Intel(R) HD Graphics 630
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Vendor:                    Intel
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Memory :                   16268MB
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Baseboard:                 ASUSTeK COMPUTER INC. unknown
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Sound 1:   Realtek Semiconductor Corp. Realtek High Definition Audio Realtek High Definition Audio RTKVHD64.sys 6.0.8899.1
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Sound 2:   Intel(R) Corporation Audio dla wyświetlaczy Intel(R) Audio dla wyświetlaczy Intel(R) IntcDAud.sys 10.27.0.10
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Sound 3:   Microsoft USB Audio Device USB Audio Device USBAUDIO.sys 10.0.19041.1202
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Sound 4:   Logitech Logitech PRO X Gaming Headset Logitech PRO X Gaming Headset USBAUDIO.sys 2021.11.3479.0
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Sound 5:   Eugene Muzychenko Virtual Audio Cable Virtual Audio Cable vrtaucbl.sys 4.66.0.12138
[thewall.engine.twilight.runtime.app.JTEEnvironment] [17:36:03] TwLight Main Thread/INFO ] - Context found! [thewall.engine.twilight.system.lwjgl.windows.WindowsJTEContext]
[thewall.engine.twilight.shaders.ShaderProgram] [17:36:03] TwLight Main Thread/ERROR] - Uniform from [thewall.engine.twilight.shaders.StaticShader] [random] not found
[thewall.engine.twilight.system.lwjgl.LegacyLwjglContext] [17:36:03] TwLight Main Thread/WARN ] - OpenGL ERROR [SOURCE] [1282]: Error has been generated. GL error GL_INVALID_OPERATION in (null): (ID: 173538523) Generic error
[thewall.engine.twilight.renderer.opengl.GLRenderer] [17:36:03] TwLight Main Thread/DEBUG] - Creating projection matrix with [FOV: 90.0 | NEARPLANE:  0.1 | FARPLANE: 17000.0]
[thewall.engine.LegacyApp] [17:36:03] main/INFO ] - Runtime ready to work, initialization complet
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
[thewall.engine.twilight.renderer.opengl.vao.LegacyVAOManager] [17:36:03] TwLight Main Thread/INFO ] - [-0.5, 0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, 0.5, 0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, -0.5, 0.5, 0.5, -0.5, 0.5, 0.5, 0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, 0.5, -0.5, 0.5]
